,Metro area,Population,city,state,latitude,longitude
98,"Chattanooga, TN-GA MSA",556548,Chattanooga,TN,35.04443976,-85.25802612
99,"Scranton–Wilkes-Barre–Hazleton, PA MSA",555426,Scranton–Wilkes,PA,41.36030718,-75.68412781
100,"Modesto, CA MSA",547899,Modesto,CA,37.65442568,-120.9889984
101,"Lancaster, PA MSA",542903,Lancaster,PA,40.04100932,-76.3010788
102,"Youngstown-Warren-Boardman, OH-PA MSA",541926,Youngstown,OH,41.09690112,-80.65132141
103,"Fayetteville-Springdale-Rogers, AR-MO MSA",537463,Fayetteville,AR,36.08957127,-94.15969849
104,"Portland-South Portland, ME MSA",532083,Portland,ME,43.66661832,-70.27198792
105,"Lexington-Fayette, KY MSA",512650,Lexington,KY,38.02749556,-84.49241638
106,"Santa Rosa, CA MSA",504217,Santa Rosa,CA,38.44601515,-122.7172852
107,"Lafayette, LA MSA",491558,Lafayette,LA,30.19791928,-92.03933716
108,"Pensacola-Ferry Pass-Brent, FL MSA",487784,Pensacola,FL,30.44732801,-87.25753784
109,"Lansing-East Lansing, MI MSA",477656,Lansing,MI,42.72830621,-84.56863403
110,"Port St. Lucie, FL MSA",473429,Port St. Lucie,FL,27.28987708,-80.36224365
111,"Reno, NV MSA",464593,Reno,NV,39.49962041,-119.8017883
112,"Visalia-Porterville, CA MSA",464493,Visalia,CA,36.31950708,-119.3080902
113,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",464165,Myrtle Beach,SC,33.71630121,-78.86810303
114,"Springfield, MO MSA",462369,Springfield,MO,37.18434586,-93.28010559
115,"Asheville, NC MSA",456145,Asheville,NC,35.58301568,-82.55607605
116,"Huntsville, AL MSA",455448,Huntsville,AL,34.72012535,-86.61071777
117,"Corpus Christi, TX MSA",454008,Corpus Christi,TX,27.73200819,-97.36221313
118,"Santa Maria-Santa Barbara, CA MSA",448150,Santa Maria,CA,34.93994169,-120.4403687
119,"York-Hanover, PA MSA",446078,York,PA,39.96711061,-76.73091888
